Country,Education,Experience,Salary
Sweden,Master,10.0,73644.0
Italy,Master,12.0,64859.0
Russian Federation,No College,8.0,66060.0
Netherlands,No College,10.0,97288.0
Poland,Master,5.0,27336.0
Russian Federation,Master,14.0,11328.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,23267.0
France,No College,10.0,70264.0
Germany,Master,26.0,103776.0
Brazil,Bachelor,12.0,49476.0
Germany,No College,8.0,67561.0
Germany,Bachelor,9.0,97288.0
Germany,No College,6.0,79452.0
Netherlands,Master,16.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,21.0,84019.0
United Kingdom of Great Britain and Northern Ireland,No College,30.0,86604.0
United Kingdom of Great Britain and Northern Ireland,Master,6.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Master,5.0,180963.0
Germany,No College,18.0,89721.0
Australia,Bachelor,18.0,64805.0
Spain,Master,7.0,37456.0
Sweden,No College,15.0,60144.0
Germany,Master,5.0,70264.0
India,Master,7.0,22758.0
Turkey,Bachelor,9.0,46416.0
Spain,Master,4.0,26030.0
Italy,No College,4.0,24000.0
France,Master,10.0,59454.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,32315.0
Germany,Bachelor,10.0,78695.0
Israel,No College,9.0,157596.0
Norway,No College,2.0,29784.0
Germany,Bachelor,2.0,93517.0
Canada,Master,20.0,79413.0
Norway,Bachelor,22.0,93869.0
Israel,Bachelor,16.0,185616.0
Brazil,Bachelor,13.0,43500.0
United States of America,Master,18.0,150000.0
Germany,Post Grad,12.0,83016.0
India,Bachelor,3.0,25131.0
India,Bachelor,7.0,30716.0
Sweden,Master,13.0,67500.0
Canada,Bachelor,3.0,52942.0
Norway,No College,25.0,91711.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,93067.0
Turkey,No College,12.0,69036.0
Germany,Master,15.0,72426.0
Sweden,No College,2.0,49092.0
Canada,Post Grad,10.0,41597.0
Israel,Bachelor,6.0,101568.0
Turkey,Bachelor,3.0,21696.0
United Kingdom of Great Britain and Northern Ireland,No College,15.0,71093.0
Germany,No College,7.0,51888.0
France,Post Grad,4.0,36972.0
Norway,Master,32.0,248159.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,49119.0
Italy,Master,2.0,16860.0
India,Bachelor,5.0,13956.0
India,Bachelor,2.0,11724.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,51704.0
India,Bachelor,3.0,44678.0
Spain,Post Grad,2.0,25944.0
Poland,Master,1.0,24300.0
Germany,No College,10.0,58368.0
Russian Federation,Bachelor,7.0,26424.0
Germany,No College,8.0,62697.0
Germany,Master,15.0,86478.0
Norway,Master,1.0,61500.0
Netherlands,Bachelor,5.0,58368.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,66052.0
Russian Federation,Master,3.0,23460.0
India,Master,8.0,34904.0
Germany,Bachelor,15.0,77831.0
United Kingdom of Great Britain and Northern Ireland,Master,9.0,49765.0
Germany,Bachelor,2.0,47563.0
Germany,Master,15.0,75669.0
United Kingdom of Great Britain and Northern Ireland,No College,20.0,58167.0
India,Bachelor,2.0,16754.0
United Kingdom of Great Britain and Northern Ireland,No College,12.0,77814.0
Poland,No College,5.0,21264.0
Norway,Bachelor,14.0,97106.0
Germany,Bachelor,10.0,64860.0
United Kingdom of Great Britain and Northern Ireland,Master,20.0,52996.0
United States of America,Bachelor,1.0,50000.0
Russian Federation,Bachelor,15.0,80525.0
Brazil,Bachelor,20.0,57267.0
Israel,No College,12.0,140088.0
Russian Federation,Master,7.0,33972.0
Netherlands,No College,25.0,140527.0
United States of America,Bachelor,8.0,155000.0
Spain,No College,6.0,17508.0
Germany,Bachelor,8.0,68102.0
Russian Federation,No College,10.0,62280.0
Germany,Master,11.0,97288.0
India,Master,6.0,41885.0
Netherlands,Bachelor,2.0,37620.0
Italy,Bachelor,5.0,23352.0
Sweden,No College,4.0,51552.0
Germany,Master,5.0,59454.0
Sweden,Bachelor,6.0,60756.0
Italy,Bachelor,13.0,24648.0
Australia,Post Grad,1.0,60129.0
Netherlands,No College,4.0,45396.0
France,Post Grad,12.0,70264.0
Germany,No College,6.0,33732.0
India,Master,9.0,19546.0
Spain,No College,5.0,30267.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,19389.0
United States of America,Bachelor,29.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,36193.0
India,Bachelor,8.0,19546.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,25.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,2.0,67215.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,19.0,77556.0
Germany,Master,4.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,22.0,67215.0
India,Master,3.0,13962.0
Netherlands,Bachelor,7.0,71345.0
France,Bachelor,3.0,75669.0
India,Master,15.0,139617.0
India,Bachelor,4.0,55847.0
Switzerland,Master,10.0,132143.0
Germany,No College,19.0,51887.0
Netherlands,No College,36.0,59676.0
Spain,Bachelor,18.0,32429.0
United Kingdom of Great Britain and Northern Ireland,No College,19.0,74970.0
United Kingdom of Great Britain and Northern Ireland,Master,20.0,90482.0
United Kingdom of Great Britain and Northern Ireland,No College,9.0,58167.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,31.0,90482.0
France,Master,1.0,51076.0
Russian Federation,Master,6.0,34600.0
Italy,Master,3.0,46482.0
Sweden,Bachelor,12.0,77423.0
Germany,Master,7.0,67021.0
Germany,Bachelor,5.0,45401.0
India,Bachelor,14.0,46074.0
Australia,Master,0.5,46767.0
India,Bachelor,4.0,46074.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,10.0,129259.0
Netherlands,Bachelor,6.0,110034.0
Germany,Master,2.0,49725.0
Germany,No College,32.0,77831.0
United States of America,Master,9.0,140000.0
Germany,Bachelor,9.0,51888.0
India,Bachelor,3.0,217800.0
Brazil,No College,10.0,19242.0
India,Master,7.0,39665.0
Russian Federation,No College,8.0,54512.0
Germany,Bachelor,11.0,28536.0
Germany,Master,30.0,47563.0
Norway,Master,16.0,118685.0
Sweden,Bachelor,11.0,67500.0
Turkey,Bachelor,2.0,31560.0
Spain,Master,7.0,43239.0
Canada,No College,10.0,88110.0
Germany,Master,37.0,97288.0
Canada,No College,6.0,94539.0
Netherlands,Master,15.0,90804.0
United Kingdom of Great Britain and Northern Ireland,Master,17.0,111163.0
United States of America,Master,40.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Master,7.0,74970.0
United Kingdom of Great Britain and Northern Ireland,Master,1.0,33607.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,18.0,64630.0
Italy,Post Grad,15.0,54049.0
Germany,Master,3.0,85397.0
India,Master,8.0,27923.0
Netherlands,Master,1.0,48000.0
India,Bachelor,7.0,37697.0
United Kingdom of Great Britain and Northern Ireland,Master,3.0,46536.0
Italy,No College,19.0,27025.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,47826.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,4.0,21328.0
Germany,No College,15.0,92100.0
India,Bachelor,0.5,16752.0
Poland,Master,14.0,50124.0
Sweden,Post Grad,10.0,78552.0
United States of America,Bachelor,3.0,170000.0
India,Bachelor,5.0,27923.0
Poland,No College,3.0,47388.0
United Kingdom of Great Britain and Northern Ireland,Master,0.5,98237.0
United States of America,Bachelor,13.0,175000.0
India,Bachelor,4.0,30716.0
Spain,Master,5.0,43239.0
United Kingdom of Great Britain and Northern Ireland,No College,35.0,109871.0
India,Bachelor,8.0,38395.0
Germany,Bachelor,8.0,64859.0
Norway,Bachelor,6.0,58264.0
Germany,Bachelor,4.0,68102.0
Germany,Master,34.0,151337.0
Poland,Master,5.0,15192.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,67215.0
United States of America,Master,12.0,165000.0
United States of America,Bachelor,4.0,120000.0
Sweden,No College,8.0,56208.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,7.0,86604.0
India,Master,11.0,13403.0
Netherlands,Bachelor,4.0,47676.0
Sweden,Bachelor,1.0,39276.0
France,Master,3.0,31128.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,65922.0
Germany,No College,10.0,54049.0
Switzerland,Master,5.0,86402.0
Germany,No College,20.0,64860.0
Spain,Post Grad,15.0,51888.0
Israel,No College,0.5,35028.0
United States of America,Bachelor,2.0,85000.0
India,Bachelor,17.0,80978.0
Russian Federation,Bachelor,1.0,17928.0
Germany,No College,9.0,62697.0
Spain,Post Grad,1.0,19458.0
France,Bachelor,20.0,59454.0
Australia,Bachelor,1.0,43426.0
India,Bachelor,7.0,29320.0
Italy,Bachelor,13.0,29832.0
Switzerland,No College,1.0,76237.0
Turkey,No College,22.0,17748.0
India,Master,10.0,46074.0
Australia,Bachelor,16.0,80840.0
Germany,No College,5.0,41508.0
Germany,No College,4.0,48648.0
India,Bachelor,2.0,11867.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,71093.0
United States of America,Bachelor,10.0,125000.0
Sweden,Master,12.0,62592.0
Norway,Master,4.0,75527.0
India,Bachelor,20.0,50262.0
Poland,No College,6.0,45564.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,68507.0
Germany,Bachelor,15.0,86478.0
Israel,Bachelor,9.0,157596.0
Russian Federation,Master,10.0,47184.0
Germany,No College,6.0,25944.0
Canada,No College,15.0,69581.0
Spain,Post Grad,8.0,48644.0
Germany,Post Grad,5.0,74588.0
Russian Federation,No College,3.0,15096.0
Switzerland,Master,6.0,111814.0
India,Bachelor,3.0,22339.0
Sweden,Master,14.0,63084.0
Netherlands,No College,23.0,70264.0
Germany,Bachelor,4.0,62697.0
Sweden,Master,11.0,112504.0
Germany,Bachelor,18.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,63337.0
India,Bachelor,6.0,20943.0
France,Master,2.0,34591.0
Russian Federation,Master,10.0,37752.0
Germany,No College,8.0,69183.0
India,Master,6.0,20100.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,43948.0
France,Master,4.0,39996.0
Sweden,Bachelor,3.0,42960.0
Spain,Master,4.0,37834.0
Germany,Master,2.0,75669.0
Germany,Bachelor,20.0,115880.0
Netherlands,Post Grad,5.0,40032.0
Australia,Master,2.0,60736.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,25.0,43428.0
India,Bachelor,7.0,25131.0
Spain,Bachelor,12.0,110801.0
Netherlands,Bachelor,33.0,70264.0
United Kingdom of Great Britain and Northern Ireland,No College,15.0,67215.0
Israel,Master,3.0,112068.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,129259.0
Germany,No College,12.0,51887.0
Brazil,Post Grad,15.0,54972.0
United States of America,Post Grad,15.0,120000.0
Germany,Master,3.0,69183.0
Italy,Master,2.0,43239.0
United States of America,Bachelor,3.0,105000.0
Poland,Bachelor,9.0,33408.0
Sweden,No College,6.0,50316.0
Spain,No College,26.0,36753.0
Switzerland,Post Grad,22.0,115884.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,82726.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,95652.0
Sweden,No College,0.5,35592.0
Israel,No College,9.0,147096.0
United States of America,Bachelor,9.0,130000.0
Germany,Bachelor,6.0,70264.0
India,Bachelor,4.0,12192.0
Germany,Bachelor,15.0,83236.0
United States of America,Bachelor,5.0,130000.0
France,Bachelor,2.0,32429.0
United States of America,No College,36.0,115000.0
United States of America,Bachelor,9.0,105000.0
United States of America,Bachelor,15.0,127000.0
Sweden,No College,15.0,51552.0
India,Bachelor,2.0,30156.0
Poland,Bachelor,3.0,30588.0
Germany,Bachelor,6.0,60535.0
Sweden,No College,11.0,52776.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,36839.0
Germany,Bachelor,5.0,54049.0
Poland,Master,4.0,27336.0
Poland,Bachelor,3.0,20352.0
Norway,Bachelor,3.0,80922.0
Australia,Bachelor,5.0,66800.0
Russian Federation,Master,15.0,64716.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,36193.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,64630.0
Poland,Bachelor,5.0,50625.0
France,Master,5.0,44536.0
United Kingdom of Great Britain and Northern Ireland,No College,0.5,18096.0
France,Master,12.0,54049.0
Netherlands,Bachelor,5.0,79993.0
Turkey,Bachelor,2.0,197232.0
Brazil,No College,3.0,10992.0
Canada,No College,5.0,74875.0
India,Master,5.0,11169.0
Germany,Master,2.0,67021.0
Germany,No College,25.0,64860.0
Brazil,Bachelor,8.0,23364.0
Poland,Master,12.0,27336.0
United States of America,Bachelor,10.0,185000.0
United Kingdom of Great Britain and Northern Ireland,No College,25.0,84019.0
United States of America,Master,19.0,202000.0
France,Master,3.0,42699.0
France,Bachelor,4.0,22056.0
France,Master,2.0,18036.0
Italy,Master,15.0,25944.0
United States of America,No College,23.0,110000.0
United States of America,Master,13.0,150000.0
France,Bachelor,3.0,32424.0
Norway,Master,15.0,75527.0
Switzerland,Post Grad,17.0,132143.0
Russian Federation,No College,3.0,22644.0
India,Bachelor,6.0,25131.0
United States of America,Bachelor,4.0,83500.0
India,Master,6.0,37697.0
Germany,Bachelor,8.0,51240.0
Germany,Master,13.0,51888.0
India,Bachelor,4.0,16752.0
Spain,No College,18.0,64859.0
India,Bachelor,9.0,36300.0
India,Bachelor,13.0,27086.0
Brazil,Bachelor,4.0,18696.0
France,Bachelor,20.0,45401.0
United Kingdom of Great Britain and Northern Ireland,Master,27.0,103408.0
France,Master,3.0,45401.0
Spain,Master,14.0,77831.0
Sweden,No College,21.0,79776.0
Germany,Master,6.0,58373.0
France,Master,2.0,33510.0
Sweden,No College,8.0,33132.0
France,Master,8.0,51887.0
United States of America,Master,6.0,110000.0
United States of America,No College,34.0,140000.0
Russian Federation,Bachelor,14.0,56616.0
United Kingdom of Great Britain and Northern Ireland,Master,20.0,46536.0
United States of America,Bachelor,1.0,46000.0
Germany,No College,2.0,12972.0
Italy,No College,3.0,16860.0
India,Bachelor,3.0,15358.0
Poland,No College,12.0,60744.0
United Kingdom of Great Britain and Northern Ireland,Master,25.0,137015.0
Germany,No College,6.0,45401.0
Germany,Master,0.5,62697.0
United States of America,Bachelor,28.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,27144.0
United States of America,Bachelor,5.0,100000.0
Italy,Master,8.0,34591.0
Germany,Master,20.0,71669.0
Spain,No College,2.0,19668.0
Canada,Bachelor,16.0,71850.0
United Kingdom of Great Britain and Northern Ireland,No College,5.0,60752.0
Germany,Master,5.0,56880.0
Germany,Master,5.0,64860.0
Switzerland,No College,3.0,60984.0
United States of America,Master,5.0,58880.0
United States of America,Bachelor,3.0,68000.0
Brazil,Post Grad,28.0,21996.0
Italy,No College,7.0,51888.0
India,Bachelor,6.0,55847.0
Netherlands,Bachelor,25.0,58368.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,53508.0
United States of America,Bachelor,3.0,70000.0
India,Bachelor,3.0,18150.0
Poland,Bachelor,3.0,27036.0
France,Master,3.0,25944.0
Brazil,Master,13.0,76968.0
Spain,Bachelor,6.0,33510.0
United States of America,No College,4.0,85000.0
United States of America,Master,15.0,220000.0
United States of America,Bachelor,2.0,27500.0
United Kingdom of Great Britain and Northern Ireland,Master,1.0,51704.0
Netherlands,Bachelor,6.0,44748.0
Germany,Master,11.0,56860.0
Netherlands,Bachelor,15.0,75669.0
France,Master,3.0,31776.0
India,Bachelor,10.0,55847.0
Germany,No College,22.0,41904.0
France,Master,2.0,39996.0
United States of America,No College,7.0,80000.0
United States of America,Bachelor,15.0,135000.0
Brazil,Bachelor,23.0,35736.0
Switzerland,Bachelor,6.0,121979.0
France,Master,2.0,34591.0
Germany,Master,2.0,59454.0
United States of America,No College,5.0,105000.0
Norway,Bachelor,8.0,68102.0
France,Bachelor,26.0,97288.0
United Kingdom of Great Britain and Northern Ireland,Master,5.0,64630.0
United States of America,Bachelor,11.0,130870.0
United States of America,Master,9.0,73000.0
France,Master,12.0,54049.0
Germany,Master,25.0,86478.0
Norway,Master,0.5,63658.0
Brazil,No College,9.0,38484.0
Germany,No College,11.0,58368.0
France,Master,4.0,25944.0
Poland,Bachelor,1.0,21264.0
Sweden,Bachelor,0.5,33756.0
Germany,No College,3.0,38915.0
United States of America,No College,21.0,136000.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,43935.0
Brazil,No College,6.0,19788.0
Russian Federation,Master,12.0,45972.0
Switzerland,No College,15.0,111814.0
Germany,No College,5.0,45401.0
France,Master,13.0,93396.0
Netherlands,Post Grad,13.0,51888.0
Brazil,Post Grad,11.0,35184.0
Spain,No College,0.5,58373.0
Germany,Bachelor,7.0,44100.0
Germany,Post Grad,4.0,68102.0
United Kingdom of Great Britain and Northern Ireland,No College,8.0,25850.0
United States of America,Bachelor,1.0,64000.0
Poland,Master,9.0,70875.0
Poland,No College,2.0,24600.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,45241.0
Netherlands,Bachelor,13.0,54480.0
Brazil,Bachelor,9.0,13740.0
United States of America,Master,20.0,115000.0
Germany,No College,8.0,50592.0
Germany,Bachelor,5.0,38916.0
United Kingdom of Great Britain and Northern Ireland,No College,10.0,58167.0
Brazil,Bachelor,2.0,74220.0
Germany,Master,7.0,61616.0
United Kingdom of Great Britain and Northern Ireland,No College,10.0,80141.0
United States of America,Master,10.0,42000.0
Netherlands,Master,15.0,157823.0
Spain,Post Grad,3.0,22701.0
Germany,Master,12.0,64859.0
United States of America,No College,5.0,77000.0
Brazil,Bachelor,23.0,15120.0
Germany,Bachelor,7.0,51888.0
Israel,Bachelor,8.0,96600.0
Sweden,Master,7.0,85908.0
Australia,No College,10.0,133619.0
Russian Federation,Master,5.0,41520.0
Russian Federation,Bachelor,20.0,43404.0
India,Bachelor,4.0,26178.0
Canada,No College,17.0,68068.0
Italy,No College,6.0,43239.0
Sweden,Bachelor,3.0,49092.0
India,Bachelor,0.5,117276.0
Brazil,Bachelor,10.0,34356.0
United States of America,Master,25.0,165000.0
Germany,Bachelor,4.0,45396.0
France,Bachelor,7.0,56211.0
Brazil,Bachelor,4.0,41232.0
Russian Federation,No College,12.0,39636.0
India,Bachelor,8.0,10896.0
Germany,Master,10.0,64859.0
United States of America,Master,16.0,97000.0
Germany,Bachelor,3.0,46044.0
Canada,No College,2.0,47648.0
Germany,Master,11.0,68102.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,51704.0
United States of America,Master,31.0,160000.0
France,Master,8.0,38916.0
Germany,Master,10.0,45396.0
India,Master,10.0,13404.0
United Kingdom of Great Britain and Northern Ireland,No College,4.0,38778.0
France,Master,2.0,38916.0
Russian Federation,Bachelor,2.0,41520.0
Brazil,Bachelor,3.0,10992.0
Poland,Bachelor,2.0,21264.0
Canada,No College,10.0,77900.0
Sweden,No College,22.0,63816.0
United States of America,Master,18.0,140000.0
Turkey,Bachelor,5.0,23664.0
Netherlands,Master,0.5,38916.0
Germany,No College,20.0,75669.0
Brazil,Bachelor,9.0,13200.0
Italy,Master,14.0,35672.0
United States of America,Master,8.0,96000.0
Germany,Bachelor,7.0,56427.0
Brazil,No College,7.0,11544.0
Brazil,Bachelor,10.0,38683.0
Poland,Bachelor,6.0,42528.0
Germany,Post Grad,8.0,108098.0
France,Post Grad,21.0,135193.0
Spain,Master,2.0,13620.0
United States of America,Bachelor,4.0,84500.0
Sweden,No College,1.0,34368.0
Germany,Master,7.0,61616.0
France,Bachelor,0.5,25944.0
Turkey,Bachelor,1.0,11640.0
Turkey,Bachelor,12.0,46022.0
United States of America,Post Grad,9.0,75000.0
Germany,Bachelor,6.0,59454.0
United States of America,Bachelor,2.0,65000.0
Brazil,Master,3.0,13740.0
France,Master,16.0,56211.0
Italy,Post Grad,12.0,27565.0
Poland,Master,9.0,37969.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,5.0,45241.0
Switzerland,No College,17.0,101649.0
Brazil,Bachelor,18.0,14160.0
India,Bachelor,9.0,18432.0
Switzerland,Bachelor,7.0,76237.0
Germany,Master,1.0,54049.0
Sweden,No College,12.0,63204.0
United States of America,Bachelor,6.0,106200.0
United Kingdom of Great Britain and Northern Ireland,Master,1.0,74970.0
Sweden,Bachelor,9.0,72408.0
Brazil,Bachelor,15.0,27492.0
Germany,Master,25.0,86478.0
Sweden,Bachelor,7.0,55104.0
Switzerland,Master,8.0,132143.0
United States of America,No College,15.0,150000.0
Switzerland,No College,25.0,121979.0
Norway,Master,4.0,75527.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,89189.0
Poland,No College,5.0,30372.0
Russian Federation,Master,7.0,30192.0
Russian Federation,Bachelor,3.0,19812.0
United States of America,No College,13.0,112000.0
Germany,Master,6.0,66156.0
United Kingdom of Great Britain and Northern Ireland,No College,5.0,51704.0
Poland,No College,3.0,33408.0
India,Bachelor,2.0,12566.0
Netherlands,Bachelor,9.0,81074.0
United States of America,Bachelor,6.0,60000.0
United States of America,Master,23.0,180000.0
Germany,Master,1.0,31128.0
United States of America,Post Grad,30.0,100000.0
Poland,Bachelor,13.0,20052.0
United States of America,Master,32.0,95000.0
Germany,Master,10.0,96207.0
Russian Federation,Master,6.0,47184.0
Canada,Master,25.0,73362.0
France,Master,6.0,37834.0
Norway,Master,6.0,86316.0
Italy,Bachelor,2.0,32429.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,0.5,71093.0
Brazil,No College,10.0,30240.0
India,Bachelor,11.0,16752.0
United States of America,No College,10.0,49000.0
Netherlands,No College,8.0,41508.0
United States of America,Bachelor,10.0,62000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,45241.0
France,Master,6.0,45401.0
Israel,Master,11.0,125497.0
United Kingdom of Great Britain and Northern Ireland,Master,9.0,67861.0
Turkey,Master,2.0,19728.0
Poland,Master,2.0,12144.0
Germany,Master,12.0,63778.0
Poland,Bachelor,2.0,38268.0
United States of America,Bachelor,20.0,60000.0
Spain,Master,3.0,34591.0
United States of America,Bachelor,18.0,140000.0
India,Bachelor,4.0,11052.0
Poland,Master,16.0,60744.0
Canada,Master,4.0,60505.0
France,Master,15.0,58368.0
United Kingdom of Great Britain and Northern Ireland,Master,12.0,64630.0
United States of America,Bachelor,11.0,145000.0
Netherlands,Master,9.0,75669.0
France,Master,2.0,37834.0
Germany,No College,14.0,64860.0
United States of America,No College,32.0,96000.0
Russian Federation,No College,20.0,20760.0
India,Bachelor,1.0,20244.0
Netherlands,Bachelor,12.0,77832.0
Brazil,Bachelor,4.0,19236.0
Poland,No College,22.0,15192.0
Canada,Post Grad,5.0,56723.0
United States of America,Bachelor,2.0,55000.0
Germany,No College,2.0,44322.0
Germany,Master,8.0,86727.0
Brazil,Bachelor,2.0,16488.0
Brazil,Bachelor,11.0,82464.0
Israel,No College,7.0,192623.0
United States of America,Bachelor,9.0,160000.0
Canada,Bachelor,22.0,71850.0
Italy,Master,10.0,64859.0
Canada,Master,16.0,71850.0
Germany,Master,10.0,86478.0
Netherlands,No College,19.0,84312.0
Australia,No College,14.0,46767.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,54289.0
Netherlands,No College,8.0,71885.0
Spain,Bachelor,15.0,54049.0
France,Master,6.0,36753.0
Canada,Bachelor,19.0,73362.0
India,Master,17.0,19155.0
United States of America,No College,31.0,160000.0
Canada,Bachelor,17.0,75631.0
India,Bachelor,4.0,20940.0
Italy,Bachelor,35.0,37834.0
United States of America,Bachelor,0.5,105000.0
France,Master,9.0,45396.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,32.0,54289.0
Russian Federation,Bachelor,5.0,22644.0
Germany,Bachelor,3.0,42804.0
Canada,Post Grad,15.0,143699.0
Poland,Bachelor,2.0,13668.0
Turkey,Bachelor,3.0,13812.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,1.0,71093.0
India,Bachelor,5.0,18432.0
France,Master,1.0,38916.0
India,Bachelor,12.0,55847.0
India,Bachelor,4.0,16126.0
India,Bachelor,6.0,14748.0
Spain,Master,4.0,22428.0
Germany,Bachelor,4.0,44100.0
Turkey,No College,4.0,15780.0
India,Bachelor,4.0,15358.0
Poland,Post Grad,5.0,19740.0
United States of America,Bachelor,3.0,91000.0
United States of America,Master,3.0,107000.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,23.0,77556.0
Germany,Master,10.0,81074.0
Germany,Bachelor,4.0,37834.0
Turkey,Bachelor,9.0,31560.0
Canada,Master,10.0,69959.0
France,Bachelor,7.0,59454.0
Spain,Bachelor,24.0,54049.0
Poland,Master,10.0,31896.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,45241.0
Germany,Master,17.0,64860.0
India,Bachelor,1.0,10611.0
United States of America,Post Grad,12.0,200000.0
Canada,Master,3.0,41597.0
United Kingdom of Great Britain and Northern Ireland,No College,10.0,58167.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,42656.0
Netherlands,No College,4.0,40536.0
Italy,Bachelor,9.0,34591.0
Canada,Master,18.0,83194.0
Spain,No College,2.0,22701.0
United States of America,Bachelor,23.0,95000.0
United States of America,Bachelor,7.0,120000.0
United States of America,Post Grad,3.0,125000.0
United States of America,Master,8.0,250000.0
Israel,No College,14.0,122580.0
Brazil,Bachelor,4.0,23088.0
United States of America,Post Grad,1.0,180000.0
Sweden,Post Grad,10.0,61980.0
Canada,Master,4.0,65043.0
Brazil,Bachelor,9.0,33480.0
Switzerland,Master,5.0,101649.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,51704.0
Germany,Bachelor,15.0,86478.0
Germany,Master,10.0,60535.0
United States of America,Bachelor,4.0,122500.0
Germany,Bachelor,8.0,67452.0
Italy,Bachelor,2.0,20760.0
United States of America,Bachelor,0.5,50000.0
Canada,Bachelor,3.0,51429.0
France,Master,12.0,54480.0
Germany,Master,14.0,83776.0
Israel,Bachelor,17.0,190000.0
United States of America,Bachelor,6.0,109514.0
United States of America,Master,5.0,115000.0
United Kingdom of Great Britain and Northern Ireland,Master,10.0,59459.0
Germany,Master,4.0,62481.0
United States of America,Master,39.0,120230.0
Poland,No College,3.0,36444.0
United States of America,No College,7.0,130000.0
Brazil,Bachelor,8.0,91628.0
United States of America,Master,32.0,125000.0
Australia,Bachelor,4.0,53448.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,51704.0
Brazil,Master,3.0,20502.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,49119.0
Germany,No College,35.0,97288.0
United States of America,Bachelor,4.0,82000.0
Israel,No College,6.0,129588.0
Brazil,Bachelor,13.0,72000.0
United States of America,Bachelor,3.0,143316.0
United States of America,Bachelor,16.0,150000.0
India,Bachelor,3.0,27923.0
United States of America,Bachelor,11.0,105000.0
Sweden,No College,25.0,73644.0
United States of America,Bachelor,6.0,105000.0
United Kingdom of Great Britain and Northern Ireland,No College,8.0,150000.0
Brazil,Bachelor,17.0,20064.0
France,Bachelor,17.0,48644.0
Netherlands,Post Grad,12.0,38916.0
United States of America,Post Grad,4.0,90000.0
United States of America,Bachelor,24.0,150000.0
Netherlands,No College,4.0,42804.0
Germany,Bachelor,12.0,91883.0
Poland,Master,8.0,43740.0
France,No College,2.0,29832.0
United States of America,Bachelor,2.0,40000.0
Italy,Bachelor,16.0,19452.0
Brazil,Bachelor,2.0,17868.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,6.0,55582.0
United Kingdom of Great Britain and Northern Ireland,No College,13.0,51704.0
Russian Federation,Master,6.0,51901.0
Germany,Master,11.0,89721.0
France,Post Grad,4.0,22056.0
Turkey,Bachelor,6.0,29580.0
United States of America,Master,18.0,180000.0
Spain,Master,11.0,47563.0
